Listing ID,Make,Model,Serial No.,Cylinders,V / Inline,Power,RPM,Price,,Condition,Application,Cooling,Lead Time,Country,State,Contact,Phone 1,Phone 2,Cell Phone,Fax,Email,Website,Address,Last Used In?,Weight (kg),Dimensions
85868,Caterpillar,C-7,KAL-WAX- C7S-SAP-FMM,6,Inline,0 Kw / 0 HP,@ 0 RPM,8295,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85869,Caterpillar,C-13,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,9995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85870,Mack,ETEC,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,5995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85871,Cummins,ISX15,MANY,6,Inline,0 Kw / 0 HP,@ 0 RPM,12995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85872,Cummins,ISB5.9CR,MANY,6,Inline,0 Kw / 0 HP,@ 0 RPM,8995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85874,Cummins,6BT,MANY,6,Inline,0 Kw / 0 HP,@ 0 RPM,3795,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85875,Caterpillar,3306DI,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,5995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85881,Mercedes,OM904,OUT OF STOCK,6,Inline,0 Kw / 0 HP,@ 0 RPM,6995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85882,Mercedes,OM906,906-945-010-104126,6,Inline,0 Kw / 0 HP,@ 0 RPM,7995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85909,Perkins,3.152.4T,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11138,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85910,Perkins,903.27T,CALL,4,Inline,0 Kw / 0 HP,@ 0 RPM,10445,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85911,Perkins,704,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,12032,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85912,Perkins,1104C-E44T BAL,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11818,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85913,Perkins,1104C-E44T BAL,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,12307,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85914,Perkins,1104C-E44TA,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11759,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85915,Perkins,1104C-E44TA,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11759,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85916,Perkins,1104D-44T/TA,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11885,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85917,Perkins,1104D-44T/TA BAL,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,12328,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85918,Perkins,804-33,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,11531,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85919,Perkins,804-33T,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,14919,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85920,Perkins,1106D-E66TA,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,19759,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85933,Perkins,3.152.4,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,9350,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85934,Perkins,1104C-E44T,TBD,4,Inline,0 Kw / 0 HP,@ 0 RPM,12307,,Reconditioned ,Industrial,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85942,Cummins,ISB 6.7,,6,Inline,0 Kw / 0 HP,@ 0 RPM,,,New Engine ,Industrial,Water,In Stock,United States,MI,Derek Van Dam,616-325-2019,,616-481-0422,,dvandam@frontiersurplus.com,www.frontiersurplus.com,2522 Burlingame Ave. Wyoming,,,
85947,Mercedes,OM904LA (NON EGR),904342279,4,Inline,0 Kw / 0 HP,@ 0 RPM,5500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
85949,Cummins,ISX (EGR DPF-MODEL),79409086,6,Inline,0 Kw / 0 HP,@ 0 RPM,16000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,Prostar,,
84532,Caterpillar,3116,2BK28905,6,Inline,0 Kw / 0 HP,@ 0 RPM,3750,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,GMC,,
84539,Caterpillar,3126,8YL,6,Inline,0 Kw / 0 HP,@ 0 RPM,3000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84541,Caterpillar,3126,8YL,6,Inline,0 Kw / 0 HP,@ 0 RPM,3000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84543,Caterpillar,C7,KAL45390,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84545,Caterpillar,C7,SAP05608,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84561,Caterpillar,C7,KAL02795,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84563,Caterpillar,C7,KAL39652,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Water,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84565,Isuzu,4HE1XS,417578,4,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,NPR,,
84569,Caterpillar,3306DI,13Z22332,6,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84571,Caterpillar,3306DI,63ZJ2346,6,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Water,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84577,Isuzu,6HK1X (EGR-Model),6HK1-436199,6,Inline,0 Kw / 0 HP,@ 0 RPM,6000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,ISUZU FRR,,
84591,Caterpillar,C7,KAL11362,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84593,Caterpillar,C13 Acert (KCB),KCB40023,6,Inline,0 Kw / 0 HP,@ 0 RPM,10500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84595,Caterpillar,C7,KAL34581,7,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84597,Caterpillar,C7,SAP88631,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84614,Isuzu,4HE1XS,639579,4,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,NPR,,
84644,Isuzu,4HK1TC (EGR DPF Model),311282,4,Inline,0 Kw / 0 HP,@ 0 RPM,7000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,NPR,,
84646,Cummins,N14 Celect Plus,11885396,6,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,VOLVO,,
84651,Detroit,Series 60 14.0L (EGR),06R0789796,6,Inline,0 Kw / 0 HP,@ 0 RPM,8500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,Freightliner,,
84656,Detroit,SERIES 60 470HP 12.7,06R0537412,6,Inline,0 Kw / 0 HP,@ 0 RPM,6000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,Freightliner,,
84662,Caterpillar,C7 Acert,FMM13592,6,Inline,0 Kw / 0 HP,@ 0 RPM,7500,,Runner ,On-Highway,Water,In Stock,United States,MI,Derek Van Dam,616-325-2019,,616-481-0422,,dvandam@frontiersurplus.com,www.frontiersurplus.com,2522 Burlingame Ave. Wyoming,,,
84664,Cummins,ISX (EGR-MODEL),79140228,6,Inline,0 Kw / 0 HP,@ 0 RPM,9500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84685,Cummins,ISC 8.3 12Valve,45572526,6,Inline,0 Kw / 0 HP,@ 0 RPM,2500,,Core/Good for Parts ,Industrial,Water,In Stock,United States,CA,Jack Ketenjian,661 945 3500,,818 419 4228,,autofox@verizon.net,,42255 6th Street East. Lancaster,98 American Eagle RV,,
84697,Mercedes,OM460LA (EGR-MODEL),460845624,6,Inline,0 Kw / 0 HP,@ 0 RPM,6500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84717,Deutz,BF8M1015CP,9154319,8,V,440 Kw / 590 HP,@ 1900 RPM,call,,Reconditioned ,Industrial,Water,In Stock,United States,CT,Tom Shaw,203-393-0500,,,203-393-0573,tom.shaw@trivalleyequipment.com,www.trivalleyequipment.com,797 Amity Rd. Bethany,Bomag SoilMec,,
84358,Caterpillar,C12 MBL,N/A,6,Inline,400 Kw / 536 HP,@ 0 RPM,$16995 With Exchange,,Remanufactured ,Industrial,Water,In Stock,United States,MI,Greg Ferrier,888-310-3539,269-462-9260,,269-462-9373,support@worldwidediesel.com,www.worldwidediesel.com,1515 Old US HWY 31 N. Niles. 49120,,,
84359,Caterpillar,C12 2KS Industrial,N/A,6,Inline,400 Kw / 536 HP,@ 0 RPM,$16995 With Exchange,,Remanufactured ,Industrial,Water,In Stock,United States,MI,Greg Ferrier,888-310-3539,269-462-9260,,269-462-9373,support@worldwidediesel.com,www.worldwidediesel.com,1515 Old US HWY 31 N. Niles. 49120,,,
84360,Caterpillar,C12 9NS Industrial,N/A,6,Inline,400 Kw / 536 HP,@ 0 RPM,$16995 With Exchange,,Remanufactured ,Industrial,Water,In Stock,United States,MI,Greg Ferrier,888-310-3539,269-462-9260,,269-462-9373,support@worldwidediesel.com,www.worldwidediesel.com,1515 Old US HWY 31 N. Niles. 49120,,,
84361,Caterpillar,C12 1YN Industrial,N/A,6,Inline,400 Kw / 536 HP,@ 0 RPM,$16995 With Exchange,,Remanufactured ,Industrial,Water,In Stock,United States,MI,Greg Ferrier,888-310-3539,269-462-9260,,269-462-9373,support@worldwidediesel.com,www.worldwidediesel.com,1515 Old US HWY 31 N. Niles. 49120,,,
84362,Caterpillar,C13 KCB Industrial,N/A,6,Inline,0 Kw / 0 HP,@ 0 RPM,$18995 With Exchange,,Remanufactured ,Industrial,Water,In Stock,United States,MI,Greg Ferrier,888-310-3539,269-462-9260,,269-462-9373,support@worldwidediesel.com,www.worldwidediesel.com,1515 Old US HWY 31 N. Niles. 49120,,,
84366,International,MAXXFORCE 7,2Y5304404,8,V,0 Kw / 0 HP,@ 0 RPM,10500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,International 4000 Series,,
84370,International,MAXXFORCE 13,1S25HM2Y4113429,6,Inline,0 Kw / 0 HP,@ 0 RPM,11500,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,International,,
84372,Caterpillar,C12,2KS81214,6,Inline,0 Kw / 0 HP,@ 0 RPM,6000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84375,Caterpillar,C12,2KS83645,6,Inline,0 Kw / 0 HP,@ 0 RPM,6000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
83726,Perkins,354T,S/N: TU70001U605925G Block: 3711496,6,Inline,0 Kw / 0 HP,@ 0 RPM,2950,,Runner ,Industrial,Water,In Stock,United States,MI,,800-828-6943,517-625-4440,,,sales@dieselcranks.com,www.dieselcranks.com/,1445 E. Lansing Rd. Morrice,,703,
83729,Perkins,354 Nat,S/N: 354UA50836L CNTRL: CMR1212NC B,6,Inline,0 Kw / 0 HP,@ 0 RPM,2950,,Runner ,Industrial,Water,In Stock,United States,MI,,800-828-6943,517-625-4440,,,sales@dieselcranks.com,www.dieselcranks.com/,1445 E. Lansing Rd. Morrice,,816,
83738,Perkins,203,SN:U300906T,4,Inline,0 Kw / 0 HP,@ 0 RPM,2500,,Runner ,Industrial,Water,In Stock,United States,MI,,800-828-6943,517-625-4440,,,sales@dieselcranks.com,www.dieselcranks.com/,1445 E. Lansing Rd. Morrice,,386,
83778,Caterpillar,3406B,5KJ06613,6,Inline,0 Kw / 0 HP,@ 0 RPM,4000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
83780,Cummins,8.3 ISC 350,45867403,6,Inline,253 Kw / 340 HP,@ 350 RPM,$5500,,Runner ,Industrial,Water,In Stock,United States,MO,Colaw RV,8775482125,,1-877-548-2125,,parts@colawrvs.com,www.colawrvsalvage.com,10389 Cimarron Rd. Carthage. 64836,MOTORHOME,,
83782,Caterpillar,3126,1WM01882,6,Inline,205 Kw / 275 HP,@ 300 RPM,$5500,,Runner ,On-Highway,Water,In Stock,United States,MO,Colaw RV,8775482125,,1-877-548-2125,,parts@colawrvs.com,www.colawrvsalvage.com,10389 Cimarron Rd. Carthage. 64836,MOTORHOME,,
83784,Cummins,8.3 ISC 330,46078092,6,Inline,246 Kw / 330 HP,@ 330 RPM,$5500,,Runner ,On-Highway,Water,In Stock,United States,MO,Colaw RV,8775482125,,1-877-548-2125,,parts@colawrvs.com,www.colawrvsalvage.com,10389 Cimarron Rd. Carthage. 64836,MOTORHOME,,
83786,Cummins,5.9 ISB 275,45764532,6,Inline,171 Kw / 230 HP,@ 275 RPM,$3000,,Runner ,Industrial,Water,In Stock,United States,MO,Colaw RV,8775482125,,1-877-548-2125,,parts@colawrvs.com,www.colawrvsalvage.com,10389 Cimarron Rd. Carthage. 64836,MOTORHOME,,
83788,Cummins,5.9 ISB 275,56631445,6,Inline,193 Kw / 260 HP,@ 275 RPM,$3000,,Runner ,On-Highway,Water,In Stock,United States,MO,Colaw RV,8775482125,,1-877-548-2125,,parts@colawrvs.com,www.colawrvsalvage.com,10389 Cimarron Rd. Carthage. 64836,MOTORHOME,,
83790,Caterpillar,C10 (70PIN ECM),3CS22110,6,Inline,0 Kw / 0 HP,@ 0 RPM,4500,,Runner ,On-Highway,Water,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
83802,Caterpillar,3406B (425HP),3ZJ42962,6,Inline,0 Kw / 0 HP,@ 0 RPM,4000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
84963,Isuzu,4HE1XS,981864,4,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,NPR,,
84983,Cummins,ISX (EGR-MODEL),79017617,6,Inline,0 Kw / 0 HP,@ 0 RPM,8000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,Volvo,,
84999,Cummins,ISC (EGR-Model),46727127,6,Inline,0 Kw / 0 HP,@ 0 RPM,8000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
85013,Caterpillar,3406B (425HP),5KJ01822,6,Inline,0 Kw / 0 HP,@ 0 RPM,4000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
85015,Mack,E7-350,5S1919,6,Inline,0 Kw / 0 HP,@ 0 RPM,5000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,,,
85017,Detroit,Series 60 14.0L (EGR DPF,06R0979393,6,Inline,0 Kw / 0 HP,@ 0 RPM,15000,,Runner ,On-Highway,Air,In Stock,United States,FL,Juan Ramirez,7863775210,,786-546-0940,305-675-7730,juan@jjrebuilders.com,www.jjrebuilders.com,532 West 20th Street. Hialeah. 33010,Cascadia,,
